Date,CAD_USD
2005-01-31,0.825926
2005-02-28,0.806314
2005-03-31,0.8217
2005-04-30,0.810848
2005-05-31,0.795893
2005-06-30,0.805562
2005-07-31,0.81728
2005-08-31,0.829126
2005-09-30,0.847706
2005-10-31,0.849655
2005-11-30,0.845988
2005-12-31,0.860996
2006-01-31,0.863293
2006-02-28,0.869951
2006-03-31,0.865423
2006-04-30,0.873073
2006-05-31,0.900847
2006-06-30,0.896458
2006-07-31,0.88753
2006-08-31,0.892213
2006-09-30,0.896373
2006-10-31,0.887239
2006-11-30,0.880862
2006-12-31,0.867491
2007-01-31,0.851383
2007-02-28,0.853737
2007-03-31,0.855028
2007-04-30,0.879035
2007-05-31,0.911331
2007-06-30,0.938313
2007-07-31,0.951879
2007-08-31,0.944334
2007-09-30,0.972009
2007-10-31,1.022779
2007-11-30,1.038922
2007-12-31,0.997966
2008-01-31,0.989995
2008-02-29,0.997605
2008-03-31,1.000995
2008-04-30,0.986005
2008-05-31,0.998527
2008-06-30,0.985099
2008-07-31,0.987421
2008-08-31,0.952022
2008-09-30,0.944228
2008-10-31,0.857797
2008-11-30,0.82083
2008-12-31,0.811699
2009-01-31,0.816009
2009-02-28,0.805443
2009-03-31,0.791993
2009-04-30,0.815192
2009-05-31,0.867117
2009-06-30,0.890913
2009-07-31,0.887487
2009-08-31,0.919621
2009-09-30,0.923723
2009-10-31,0.948749
2009-11-30,0.941358
2009-12-31,0.947525
2010-01-31,0.957729
2010-02-28,0.946606
2010-03-31,0.976587
2010-04-30,0.994493
2010-05-31,0.961654
2010-06-30,0.963478
2010-07-31,0.956768
2010-08-31,0.961746
2010-09-30,0.966581
2010-10-31,0.982121
2010-11-30,0.987748
2010-12-31,0.991514
2011-01-31,1.006039
2011-02-28,1.012111
2011-03-31,1.023571
2011-04-30,1.043201
2011-05-31,1.033437
2011-06-30,1.021786
2011-07-31,1.046219
2011-08-31,1.018198
2011-09-30,1.000874
2011-10-31,0.97735
2011-11-30,0.975941
2011-12-31,0.977014
2012-01-31,0.983957
2012-02-29,1.002256
2012-03-31,1.006904
2012-04-30,1.005792
2012-05-31,0.990909
2012-06-30,0.972953
2012-07-31,0.986203
2012-08-31,1.00663
2012-09-30,1.021462
2012-10-31,1.014244
2012-11-30,1.002361
2012-12-31,1.009602
2013-01-31,1.007892
2013-02-28,0.99214
2013-03-31,0.976295
2013-04-30,0.981723
2013-05-31,0.981178
2013-06-30,0.969327
2013-07-31,0.960236
2013-08-31,0.962233
2013-09-30,0.964801
2013-10-31,0.965728
2013-11-30,0.954044
2013-12-31,0.939928
2014-01-31,0.91732
2014-02-28,0.904496
2014-03-31,0.900359
2014-04-30,0.90931
2014-05-31,0.917847
2014-06-30,0.923538
2014-07-31,0.932271
2014-08-31,0.915571
2014-09-30,0.90936
2014-10-31,0.891234
2014-11-30,0.883602
2014-12-31,0.866507
2015-01-31,0.826967
2015-02-28,0.799001
2015-03-31,0.79277
2015-04-30,0.809024
2015-05-31,0.821336
2015-06-30,0.809299
2015-07-31,0.779869
2015-08-31,0.760954
2015-09-30,0.754072
2015-10-31,0.765173
2015-11-30,0.752988
2015-12-31,0.73004
2016-01-31,0.7054
2016-02-29,0.724475
2016-03-31,0.755444
2016-04-30,0.779029
2016-05-31,0.773476
2016-06-30,0.775202
2016-07-31,0.767398
2016-08-31,0.769542
2016-09-30,0.763109
2016-10-31,0.755159
2016-11-30,0.743091
2016-12-31,0.749271
2017-01-31,0.756946
2017-02-28,0.763391
2017-03-31,0.746907
2017-04-30,0.743892
2017-05-31,0.735591
2017-06-30,0.751011
2017-07-31,0.787792
2017-08-31,0.793131
2017-09-30,0.813731
2017-10-31,0.793371
2017-11-30,0.783803
2017-12-31,0.783926
2018-01-31,0.804258
2018-02-28,0.795203
2018-03-21,0.772462
