"ML..","Distance.Skytrain"
"F1418606",565
"F1448769",566
"F1102021",566
"F2904513",566
"F2812769",566
"R2181921",566
"F2828901",566
"R2029319",566
"F2912831",566
"F2729758",566
"F1433266",566
"R2228156",920
"R2063578",920
"R2089979",920
"R2041613",920
"R2122308",920
"R2142890",920
"R2005977",920
"F2619798",920
"F2619395",920
"F2804399",920
"F1422801",920
"F2606753",920
"F2617237",920
"F2605499",920
"F2618834",920
"F2909181",920
"F1119939",920
"F1104296",920
"F2608055",920
"F2814815",920
"F2619802",920
"F1215601",920
"F2706635",920
"F2712901",920
"F2703903",920
"F2801930",920
"F2612192",920
"F2612587",920
"F1428885",920
"F2805922",920
"F2621599",920
"F2605447",920
"R2064161",862
"R2023680",862
"R2206163",862
"R2226560",862
"R2039324",862
"R2207245",862
"R2040691",862
"R2222988",862
"R2007459",862
"R2045113",862
"R2010464",862
"R2150492",862
"R2181452",862
"R2197869",862
"R2060096",862
"F2618024",862
"F2526174",862
"F2721097",862
"F2620092",862
"F1433333",862
"F2706223",862
"F2800319",862
"F1431390",862
"F2809999",862
"F2602537",862
"F1421692",862
"F2615929",862
"F2701267",862
"F2606166",862
"F2603059",862
"F2601233",862
"F2625051",862
"F2614023",862
"F1420212",862
"F2718676",862
"F2614173",862
"F2601321",862
"F2606417",862
"F2615550",862
"F2700731",862
"F2618888",862
"R2038759",996
"R2041561",996
"R2149282",996
"F1426788",996
"F1317063",996
"R2109650",996
"F1423042",996
"F1003492",996
"F1226307",996
"F1220345",996
"F1019735",996
"F1024516",996
"F1225522",996
"F2707584",996
"F2816579",996
"F2923658",996
"F2905589",996
"F2715597",996
"F2905337",996
"F1107960",996
"F2601623",996
"F1110434",996
"F2702733",996
"F2612437",996
"F2916470",996
"F1327297",996
"F1430990",996
"F2700557",996
"F2805777",996
"F1412858",996
"F1102294",996
"F2702150",996
"F2832653",996
"F2825830",996
"F1018772",996
"F2905405",996
"F2813410",996
"F2612094",996
"F2724510",7445
"F2824591",7445
"F2624271",7445
"F2715824",7445
"F2911404",7445
"F2815880",7445
"F2714272",7445
"F2830991",7445
"F2703418",7445
"R2187343",7445
"F2918611",7445
"F2512866",7445
"F2810572",7445
"F2815335",7445
"F2810483",7445
"F2615290",7445
"F1222300",257
"F1127698",257
"R2200694",257
"F1428637",257
"F1410191",257
"F1226752",257
"F1202845",257
"F1317599",257
"F1212774",257
"F1125736",257
"F1029253",257
"R2115703",257
"R2122476",295
"F2600987",295
"F1104990",295
"F1309604",295
"F2601478",295
"F1414747",295
"R2123514",295
"R2188514",295
"F1414913",295
"F2603729",295
"F2828352",295
"F1013476",295
"F2609206",295
"F2606148",295
"F1019749",295
"F2914912",295
"F2600959",295
"F1441207",295
"R2143977",295
"F2831816",295
"F1449499",295
"R2086679",295
"F2911407",295
"F1449529",295
"R2228207",295
"F2719731",295
"F2601501",295
"F1021186",295
"F1431824",295
"R2012710",295
"F1418361",295
"F2602817",295
"F2728358",295
"F2921975",295
"F1435631",295
"F2804546",295
"F2726895",295
"R2222351",295
"F2702315",295
"F2730418",295
"F2723604",295
"R2033714",295
"F1319104",295
"F2833217",295
"F1128659",295
"R2157550",295
"R2197332",389
"R2063121",389
"R2229148",389
"F1450832",389
"R2085505",389
"R2207489",389
"R2188553",389
"R2184482",389
"R2140452",389
"R2193401",389
"R2137929",389
"R2196363",389
"R2010213",389
"R2207505",389
"R2049157",389
"R2017630",389
"R2088829",389
"R2119127",389
"R2139630",389
"R2213055",389
"R2159778",389
"R2214431",389
"R2206701",389
"R2104590",389
"R2226591",389
"R2204452",389
"F1427500",389
"F1125675",389
"F1116224",389
"F1210239",389
"F1115478",389
"F1322634",389
"F1125677",389
"F1303192",389
"F1440103",389
"F1326177",389
"F1115472",389
"R2135061",472
"R2015769",472
"R2108059",472
"R2151619",472
"F1219500",472
"F1015759",472
"F2812767",573
"F2821451",573
"F2812013",573
"F2916410",573
"F2919274",573
"F2916984",573
"F2908103",573
"F2917296",573
"F2812030",573
"F2919425",573
"F2815516",573
"F2920810",573
"F2905207",573
"F1445605",420
"F1116707",420
"R2108526",420
"R2124509",420
"F1405685",420
"F1213007",420
"R2088029",420
"R2135753",420
"F1019414",420
"F1427854",420
"R2141405",420
"R2013288",420
"R2155623",420
"F1429634",420
"F1203881",420
"F1402930",420
"F1451388",420
"F1436440",420
"F1301498",420
"F1125489",420
"R2044435",420
"F1303233",420
"F1119445",420
"F1306648",420
"F1019700",420
"R2184197",420
"F1317712",420
"F1122724",420
"F1115082",420
"R2116524",420
"F1428233",420
"F1028524",420
"F1002331",420
"F1001177",420
"F1427382",420
"F1006661",420
"F1224763",420
"F1323712",420
"F1106573",420
"R2195344",420
